City_ID,City,City_ID,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
207,Nagar Karnul,207,in,87.85,scattered clouds,16.4821,78.3247,Sanjeevani Hills
208,Buchanan,208,lr,75.2,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
210,Itarema,210,br,77.2,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
212,East London,212,za,66.06,scattered clouds,-33.0153,27.9116,Tu Casa
216,Ilo,216,pe,69.8,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
218,Los Llanos De Aridane,218,es,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
219,Wanning,219,cn,83.95,few clouds,18.8003,110.3967,Paradise Hotel
220,Pangkalanbuun,220,id,87.89,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
221,Porto Santo,221,pt,60.8,few clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
222,Kieta,222,pg,85.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
224,Esperance,224,au,73.4,few clouds,-33.8667,121.9,Hospitality Esperance
227,Kassala,227,sd,79.74,broken clouds,15.450999999999999,36.4,Amassi Hotel Gash
228,Christchurch,228,nz,66.0,clear sky,-43.5333,172.6333,The George
229,Laguna,229,br,75.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
236,Kaeo,236,nz,70.0,scattered clouds,-35.1,173.7833,Bushido Lodge
237,Pala,237,td,74.1,scattered clouds,9.3642,14.9046,Nectar Hôtel de Pala
244,Leshan,244,cn,60.37,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
245,Along,245,in,64.96,overcast clouds,28.1667,94.7667,Hotel West
249,Calabozo,249,ve,84.79,overcast clouds,8.9242,-67.4293,Hotel Giardini
250,Kavieng,250,pg,83.61,light rain,-2.5744,150.7967,Nusa Island Retreat
251,Pitimbu,251,br,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
254,Alice Springs,254,au,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
255,Boyolangu,255,id,84.76,overcast clouds,-8.1181,111.8935,Yos ega cv
256,Atambua,256,id,77.79,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
257,Sirjan,257,ir,61.29,clear sky,29.451999999999998,55.6814,MAPNA Building
258,Kahului,258,us,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
260,Betioky,260,mg,62.96,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
263,Vao,263,nc,75.61,light rain,-22.6667,167.4833,Hotel Kou-Bugny
266,Hasaki,266,jp,69.01,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
267,Linjiang,267,cn,65.1,broken clouds,41.8069,126.9078,格林豪泰
268,Ranong,268,th,86.0,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
272,Naze,272,jp,71.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
275,Bereda,275,so,71.6,clear sky,43.2686,-7.5406,Pazo de Verdes
276,Itoman,276,jp,80.01,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
278,Shimoda,278,jp,64.4,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
