City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
140,Mathbaria,22.2876,89.9593,85.69,63,9,12.44,clear sky
141,Yulara,-25.2406,130.9889,78.8,21,0,19.57,clear sky
142,Vardo,70.3705,31.1107,34.23,92,89,19.26,light snow
143,Cherskiy,68.75,161.3,10.04,74,100,3.24,overcast clouds
144,Ahuimanu,21.4447,-157.8378,82.4,69,20,11.5,light rain
145,Bilma,18.6853,12.9164,67.5,14,0,9.55,clear sky
146,Dzhebariki-Khaya,62.2167,135.8,22.55,83,100,2.68,overcast clouds
147,Cidreira,-30.1811,-50.2056,68.36,75,34,11.68,scattered clouds
148,Muros,42.7762,-9.0603,69.8,30,0,5.75,clear sky
149,Kentville,45.0835,-64.4988,53.6,76,98,6.91,overcast clouds
150,Sibut,5.718,19.0739,76.77,54,100,3.38,overcast clouds
151,Bilibino,68.0546,166.4372,10.0,84,100,2.1,overcast clouds
152,Guhagar,17.4842,73.1929,74.64,81,53,2.3,broken clouds
153,Choszczno,53.169,15.4205,57.0,81,0,4.61,clear sky
154,Ampanihy,-24.7,44.75,62.51,89,0,6.62,clear sky
155,Kannur,11.8675,75.3576,80.44,78,35,6.91,scattered clouds
156,Talaya,61.3833,152.75,16.38,76,100,7.76,overcast clouds
157,Sarangarh,21.6,83.0833,83.68,11,6,3.69,clear sky
158,Quatre Cocos,-20.2078,57.7625,77.0,94,40,7.76,scattered clouds
159,Paamiut,61.994,-49.6678,30.72,74,100,22.66,overcast clouds
160,Altay,47.8667,88.1167,27.99,58,100,2.95,overcast clouds
161,Southbridge,42.0751,-72.0334,54.0,98,100,1.01,light rain
162,Yellowknife,62.456,-114.3525,24.8,54,75,9.22,broken clouds
163,Tulun,54.5611,100.5792,24.19,71,20,12.48,few clouds
164,Port Hardy,50.6996,-127.4199,53.6,50,75,8.05,broken clouds
165,Porto Velho,-8.7619,-63.9039,73.4,94,20,3.44,light rain
166,Nouadhibou,20.931,-17.0347,64.4,82,0,18.41,clear sky
167,Atikokan,48.7555,-91.6216,17.65,67,59,1.74,broken clouds
168,Cabo San Lucas,22.8909,-109.9124,80.6,16,75,11.5,broken clouds
169,Lanzhou,36.0564,103.7922,43.0,93,97,3.27,overcast clouds
170,Kirkwall,58.9848,-2.9587,35.6,75,75,2.3,broken clouds
171,Luderitz,-26.6481,15.1594,66.38,60,0,12.06,clear sky
172,Colquechaca,-18.6667,-66.0167,33.37,85,100,2.77,snow
173,Tigil,57.8,158.6667,32.68,99,100,1.41,overcast clouds
174,Kruisfontein,-34.0033,24.7314,64.0,75,100,1.01,overcast clouds
175,Omboue,-1.5746,9.2618,72.46,92,100,4.9,overcast clouds
176,Harper,4.375,-7.7169,77.97,90,96,3.53,overcast clouds
177,Hasaki,35.7333,140.8333,64.99,59,75,9.22,broken clouds
178,Batie,9.8833,-2.9167,81.99,19,18,3.96,few clouds
179,Clyde River,70.4692,-68.5914,-13.0,77,20,11.5,few clouds
180,Auchel,50.5034,2.4735,55.99,76,0,2.91,clear sky
181,Saint-Augustin,51.226,-58.6502,21.16,92,100,3.11,overcast clouds
182,Isangel,-19.55,169.2667,84.2,84,90,10.54,overcast clouds
183,Herre,59.1,9.5667,37.0,95,6,5.01,clear sky
184,Winnemucca,40.973,-117.7357,62.6,13,1,5.5,clear sky
185,Khandbari,27.3747,87.2039,67.21,56,42,1.77,scattered clouds
186,Iquique,-20.2208,-70.1431,68.0,68,90,8.05,overcast clouds
187,Troitskoye,52.9821,84.6757,16.61,97,100,4.09,overcast clouds
188,Tsuyama,35.05,134.0,64.99,31,0,11.5,clear sky
189,Kano,12.0001,8.5167,66.2,39,40,3.44,haze
190,Bubaque,11.2833,-15.8333,76.28,71,0,16.73,clear sky
191,Mayumba,-3.432,10.6554,74.7,87,100,4.52,overcast clouds
192,Goderich,43.7501,-81.7165,32.0,80,98,12.66,overcast clouds
193,Bodden Town,19.2833,-81.25,80.01,89,20,8.05,few clouds
194,Cockburn Town,21.4612,-71.1419,77.0,73,40,17.27,scattered clouds
195,Norman Wells,65.282,-126.8329,12.2,85,75,3.44,light snow
196,Voloshka,61.3314,40.0858,32.23,92,100,8.63,overcast clouds
197,Hovd,48.0056,91.6419,28.94,37,60,2.73,broken clouds
198,Port Moresby,-9.4431,147.1797,86.0,74,75,8.05,haze
199,Tahta,26.7693,31.5021,53.6,47,0,3.44,clear sky
200,Ponta Do Sol,32.6667,-17.1,57.99,71,25,1.99,scattered clouds
201,Faya,18.3851,42.4509,62.6,51,0,4.61,clear sky
