City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Longyearbyen,SJ,2020-10-04 18:42:15,78.22,15.64,35.6,93,75,3.36
131,Kharovsk,RU,2020-10-04 18:42:16,59.96,40.19,47.23,91,100,7.96
132,Jaisalmer,IN,2020-10-04 18:42:16,26.91,70.92,88.63,20,0,9.62
133,Parambu,BR,2020-10-04 18:42:17,-6.21,-40.69,97.75,18,100,5.82
134,Ugoofaaru,MV,2020-10-04 18:42:18,5.67,73.0,82.31,76,41,13.35
135,Mareeba,AU,2020-10-04 18:42:18,-17.0,145.43,71.6,73,100,8.05
136,Nouadhibou,MR,2020-10-04 18:42:18,20.93,-17.03,78.8,57,0,19.46
137,Kozlovo,RU,2020-10-04 18:42:18,56.52,36.27,56.07,48,100,9.55
138,Qaanaaq,GL,2020-10-04 18:42:18,77.48,-69.36,18.27,86,1,9.24
139,Lompoc,US,2020-10-04 18:42:19,34.64,-120.46,78.8,44,1,4.7
140,Leningradskiy,RU,2020-10-04 18:42:19,69.38,178.42,27.73,95,99,12.24
141,Upernavik,GL,2020-10-04 18:42:19,72.79,-56.15,25.95,87,90,3.87
142,Nishihara,JP,2020-10-04 18:42:19,26.18,127.76,78.8,94,20,3.36
143,Bjerkvik,NO,2020-10-04 18:42:20,68.56,17.52,55.4,58,75,6.93
144,Jamestown,US,2020-10-04 18:42:20,42.1,-79.24,61.0,50,75,9.17
145,Ambon,ID,2020-10-04 18:42:20,-3.7,128.18,75.99,16,75,6.33
146,Tura,IN,2020-10-04 18:42:20,25.52,90.22,75.06,88,16,1.9
147,Katsuura,JP,2020-10-04 18:42:21,35.13,140.3,75.2,73,31,17.22
148,Mar Del Plata,AR,2020-10-04 18:38:06,-38.0,-57.56,51.01,70,100,10.29
149,Barra Patuca,HN,2020-10-04 18:42:21,15.8,-84.28,83.16,82,94,17.81
150,Paciran,ID,2020-10-04 18:42:21,-6.88,112.38,78.66,76,78,10.45
151,Bambous Virieux,MU,2020-10-04 18:42:21,-20.34,57.76,75.0,83,40,8.05
152,Tabuk,PH,2020-10-04 18:42:22,17.42,121.44,72.55,89,51,2.21
153,Luderitz,NA,2020-10-04 18:42:22,-26.65,15.16,61.09,71,99,14.54
154,Kodiak,US,2020-10-04 18:42:23,57.79,-152.41,48.2,87,90,19.46
155,Hasaki,JP,2020-10-04 18:42:24,35.73,140.83,68.0,94,75,3.36
